,run_time,user,text,favorite_count,retweet_count,created_at
21,2022-10-27 15:05:26.341246,naira_rates,"Thu October, 11:05:04 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦733.601
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦853.929
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦741.838

 v1.0.6",151,56,2022-10-20 11:05:04+00:00
22,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Thu October, 09:00:11 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦964,354.586
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,378,324.912
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦202,804.380
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦21,645.241
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦748.985
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦749.079

 v1.0.6",67,12,2022-10-20 09:00:11+00:00
23,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Thu October, 09:00:06 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦974,464.111
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,365,664.353
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦204,299.444
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦23,187.149
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦747.522
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦747.616

 v1.0.6",245,53,2022-10-20 09:00:06+00:00
24,2022-10-27 15:05:26.341246,naira_rates,"Wed October, 11:05:39 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦731.460
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦857.033
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦741.911

 v1.0.6",215,76,2022-10-19 11:05:39+00:00
25,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Wed October, 09:00:09 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦968,257.571
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,389,105.421
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦202,092.876
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,297.938
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦747.089
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦746.939

 v1.0.6",64,11,2022-10-19 09:00:09+00:00
26,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Wed October, 09:00:05 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦979,599.647
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,400,000.985
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦204,267.039
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦23,309.185
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦746.871
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦746.721

 v1.0.6",44,6,2022-10-19 09:00:06+00:00
27,2022-10-27 15:05:26.341246,naira_rates,"Tue October, 11:05:01 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦731.460
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦850.318
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦746.462

 v1.0.6",181,58,2022-10-18 11:05:01+00:00
28,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Tue October, 09:00:10 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦985,263.618
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,672,055.749
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦203,356.113
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,761.046
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦746.378
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦746.205

 v1.0.6",50,14,2022-10-18 09:00:10+00:00
29,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Tue October, 09:00:05 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦992,690.712
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,662,784.479
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦205,124.711
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦24,176.304
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦746.167
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦745.994

 v1.0.6",29,10,2022-10-18 09:00:06+00:00
30,2022-10-27 15:05:26.341246,naira_rates,"Mon October, 11:05:00 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦725.638
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦843.549
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦731.195

 v1.0.6",146,64,2022-10-17 11:05:01+00:00
31,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Mon October, 09:00:08 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦967,929.012
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,314,025.959
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦200,562.217
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,242.285
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦741.768
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦742.548

 v1.0.6",55,18,2022-10-17 09:00:08+00:00
32,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Mon October, 09:00:02 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦975,274.887
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,190,985.778
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦201,849.655
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦23,934.264
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦740.605
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦741.384

 v1.0.6",53,10,2022-10-17 09:00:02+00:00
33,2022-10-27 15:05:26.341246,naira_rates,"Sun October, 11:05:01 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦724.589
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦842.330
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦730.138

 v1.0.6",185,62,2022-10-16 11:05:01+00:00
34,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Sun October, 09:00:12 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦951,568.372
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,224,864.322
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦199,919.663
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦21,987.380
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦740.792
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦740.764

 v1.0.6",66,24,2022-10-16 09:00:12+00:00
35,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Sun October, 09:00:06 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦960,282.720
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,218,442.944
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦201,422.752
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦24,033.255
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦740.236
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦740.208

 v1.0.6",38,15,2022-10-16 09:00:07+00:00
36,2022-10-27 15:05:26.341246,naira_rates,"Sat October, 11:05:01 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦724.589
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦842.330
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦730.138

 v1.0.6",120,41,2022-10-15 11:05:01+00:00
